id_animal,id_propriedade,data_entrada,data_saida,peso_entrada_kg,peso_saida_kg,dias_permanencia,gmd_kg_dia,sexo_macho,proporcao_bos_indicus_pct,media_suplemento_kg_dia,pb_suplemento_pct,frequencia_suplementacao_dias_semana,media_proteina_bruta_forragem_pct,rotacao_piquete,numero_eventos_transporte,temperatura_media_c,precipitacao_acumulada_mm,proporcao_ciclo_seca
365,elvis,2023-09-03,2024-02-01,228,313,151,0.562914,0,75,0.811,30,7,10.42,1,1,25.57,584.3,0.1854
174,elvis,2020-11-07,2024-04-13,110,425,1253,0.251397,0,75,0.802,30,7,10.42,1,1,21.95,4555.4,0.4477
372,elvis,2023-09-03,2024-04-13,189,310,223,0.542601,0,75,0.749,30,7,10.42,1,1,25.06,943.0,0.1794
366,elvis,2023-09-03,2024-02-01,221,307,151,0.569536,0,75,0.792,30,7,10.42,1,1,25.57,584.3,0.1854
343,elvis,2023-01-23,2024-02-01,130,308,374,0.475936,0,75,0.657,30,7,10.42,1,1,22.32,1056.5,0.4893
314,elvis,2022-07-16,2024-04-13,153,332,637,0.281005,0,75,0.728,30,7,10.42,1,1,22.36,2407.9,0.427
356,elvis,2023-01-23,2024-02-01,181,347,374,0.44385,0,75,0.792,30,7,10.42,1,1,22.32,1056.5,0.4893
401,elvis,2024-02-11,2025-01-14,154,276,338,0.360947,0,75,0.645,30,7,10.42,1,1,22.83,1057.0,0.5414
400,elvis,2024-02-11,2025-01-14,193,315,338,0.360947,0,75,0.762,30,7,10.42,1,1,22.83,1057.0,0.5414
427,elvis,2024-05-05,2025-01-14,198,300,254,0.401575,0,75,0.747,30,7,10.42,1,1,22.55,735.1,0.5866
001,elvis,2024-05-07,2025-01-14,178,258,252,0.31746,0,75,0.654,30,7,10.42,1,1,22.56,735.1,0.5833
388,elvis,2024-02-13,2025-01-14,202,283,336,0.241071,0,75,0.728,30,7,10.42,1,1,22.82,1055.2,0.5446
398,elvis,2024-02-13,2025-01-14,147,260,336,0.33631,0,75,0.611,30,7,10.42,1,1,22.82,1055.2,0.5446
044,elvis,2024-02-26,2025-01-14,199,315,323,0.359133,0,75,0.771,30,7,10.42,1,1,22.77,986.1,0.5666
418,elvis,2024-02-21,2025-01-14,180,281,328,0.307927,0,75,0.692,30,7,10.42,1,1,22.79,1021.5,0.5579
420,elvis,2024-04-13,2025-01-14,226,263,276,0.134058,0,75,0.734,30,7,10.42,1,1,22.54,740.8,0.6196
394,elvis,2024-02-13,2025-01-14,226,331,336,0.3125,0,75,0.836,30,7,10.42,1,1,22.82,1055.2,0.5446
425,elvis,2024-05-05,2025-01-14,196,279,254,0.326772,0,75,0.713,30,7,10.42,1,1,22.55,735.1,0.5866
376,elvis,2024-02-07,2025-01-14,191,290,342,0.289474,0,75,0.722,30,7,10.42,1,1,22.83,1066.1,0.5351
417,elvis,2024-02-21,2025-01-14,193,283,328,0.27439,0,75,0.714,30,7,10.42,1,1,22.79,1021.5,0.5579
387,elvis,2024-02-13,2025-01-14,206,300,336,0.279762,0,75,0.759,30,7,10.42,1,1,22.82,1055.2,0.5446
429,elvis,2024-05-05,2025-01-14,203,251,254,0.188976,0,75,0.681,30,7,10.42,1,1,22.55,735.1,0.5866
339,elvis,2023-01-11,2024-02-01,135,317,386,0.471503,0,75,0.678,30,7,10.42,1,1,22.32,1206.3,0.4741
354,elvis,2023-01-20,2024-02-01,172,306,377,0.355438,0,75,0.717,30,7,10.42,1,1,22.31,1128.7,0.4854
242,elvis,2023-01-23,2024-02-01,185,335,374,0.40107,0,75,0.78,30,7,10.42,1,1,22.32,1056.5,0.4893
002,elvis,2023-01-11,2024-02-01,128,298,386,0.440415,0,75,0.639,30,7,10.42,1,1,22.32,1206.3,0.4741
341,elvis,2023-01-11,2024-02-01,168,327,386,0.411917,0,75,0.743,30,7,10.42,1,1,22.32,1206.3,0.4741
241,elvis,2023-01-23,2024-02-01,168,323,374,0.414439,0,75,0.737,30,7,10.42,1,1,22.32,1056.5,0.4893
369,elvis,2023-09-03,2024-02-01,236,302,151,0.437086,0,75,0.807,30,7,10.42,1,1,25.57,584.3,0.1854
338,elvis,2023-01-11,2024-02-01,162,264,386,0.264249,0,75,0.639,30,7,10.42,1,1,22.32,1206.3,0.4741
340,elvis,2023-01-11,2024-02-01,138,305,386,0.432642,0,75,0.664,30,7,10.42,1,1,22.32,1206.3,0.4741
244,elvis,2023-01-23,2024-02-01,188,308,374,0.320856,0,75,0.744,30,7,10.42,1,1,22.32,1056.5,0.4893
363,elvis,2023-09-03,2024-02-01,223,295,151,0.476821,0,75,0.777,30,7,10.42,1,1,25.57,584.3,0.1854
364,elvis,2023-09-03,2024-02-01,225,271,151,0.304636,0,75,0.744,30,7,10.42,1,1,25.57,584.3,0.1854
346,elvis,2023-01-25,2024-02-01,170,299,372,0.346774,0,75,0.704,30,7,10.42,1,1,22.32,1035.1,0.4919
419,elvis,2024-05-02,2025-04-10,152,276,343,0.361516,0,75,0.642,30,7,10.42,1,1,22.81,1033.0,0.4694
404,elvis,2024-02-22,2025-04-10,136,298,413,0.392252,0,75,0.651,30,7,10.42,1,1,22.95,1293.8,0.4649
430,elvis,2024-05-02,2025-04-10,154,304,343,0.437318,0,75,0.687,30,7,10.42,1,1,22.81,1033.0,0.4694
435,elvis,2024-05-02,2025-04-10,163,292,343,0.376093,0,75,0.682,30,7,10.42,1,1,22.81,1033.0,0.4694
383,elvis,2024-02-22,2025-04-10,189,324,413,0.326877,0,75,0.769,30,7,10.42,1,1,22.95,1293.8,0.4649
437,elvis,2025-02-11,2025-04-10,270,295,58,0.431034,0,75,0.848,30,7,10.42,1,1,23.88,119.9,0.1552
393,elvis,2024-02-22,2025-04-10,114,270,413,0.377724,0,75,0.576,30,7,10.42,1,1,22.95,1293.8,0.4649
379,elvis,2024-02-22,2025-04-10,122,265,413,0.346247,0,75,0.581,30,7,10.42,1,1,22.95,1293.8,0.4649
386,elvis,2024-02-22,2025-04-10,205,351,413,0.353511,0,75,0.834,30,7,10.42,1,1,22.95,1293.8,0.4649
381,elvis,2024-02-22,2025-04-10,180,303,413,0.297821,0,75,0.725,30,7,10.42,1,1,22.95,1293.8,0.4649
436,elvis,2024-05-02,2025-04-10,146,285,343,0.405248,0,75,0.646,30,7,10.42,1,1,22.81,1033.0,0.4694
251,elvis,2024-02-22,2025-04-10,158,328,413,0.411622,0,75,0.729,30,7,10.42,1,1,22.95,1293.8,0.4649
428,elvis,2024-05-02,2025-04-10,226,339,343,0.329446,0,75,0.848,30,7,10.42,1,1,22.81,1033.0,0.4694
351,elvis,2023-01-23,2023-11-12,174,304,293,0.443686,0,75,0.717,25,7,10.42,1,2,21.43,699.3,0.6246
353,elvis,2023-01-23,2023-12-09,178,304,320,0.39375,0,75,0.723,25,7,10.42,1,2,21.87,819.7,0.5719
355,elvis,2023-01-23,2023-08-25,205,302,214,0.453271,0,75,0.761,25,7,10.42,1,2,20.01,458.7,0.6822
357,elvis,2023-01-23,2023-11-10,178,286,291,0.371134,0,75,0.696,25,7,10.42,1,2,21.4,699.3,0.6289
358,elvis,2023-01-23,2023-11-12,209,304,293,0.324232,0,75,0.769,25,7,10.42,1,2,21.43,699.3,0.6246
362,elvis,2023-09-03,2024-02-01,178,240,151,0.410596,0,75,0.627,25,7,10.42,1,2,25.57,584.3,0.1854
368,elvis,2023-09-03,2023-11-10,240,250,68,0.147059,0,75,0.735,25,7,10.42,1,2,25.58,227.2,0.4118
371,elvis,2023-09-03,2023-12-09,269,284,97,0.154639,0,75,0.83,25,7,10.42,1,2,25.88,347.6,0.2887
243,elvis,2023-01-23,2023-12-09,172,284,320,0.35,0,75,0.684,25,7,10.42,1,2,21.87,819.7,0.5719
042,elvis,2023-01-23,2023-12-09,200,311,320,0.346875,0,75,0.767,25,7,10.42,1,2,21.87,819.7,0.5719
345,elvis,2023-01-23,2023-11-12,198,305,293,0.365188,0,75,0.755,25,7,10.42,1,2,21.43,699.3,0.6246
323,elvis,2022-07-16,2023-06-17,228,353,336,0.372024,0,75,0.872,25,7,10.42,1,2,21.17,1437.3,0.4583
324,elvis,2022-07-16,2023-06-17,252,368,336,0.345238,0,75,0.93,25,7,10.42,1,2,21.17,1437.3,0.4583
325,elvis,2022-07-16,2023-11-12,163,318,484,0.320248,0,75,0.722,25,7,10.42,1,2,21.58,1692.1,0.5372
326,elvis,2022-07-16,2023-11-12,116,284,484,0.347107,0,75,0.6,25,7,10.42,1,2,21.58,1692.1,0.5372
327,elvis,2022-07-16,2023-12-09,150,308,511,0.309198,0,75,0.687,25,7,10.42,1,2,21.85,1812.5,0.5088
328,elvis,2022-07-16,2023-11-12,148,263,484,0.237603,0,75,0.617,25,7,10.42,1,2,21.58,1692.1,0.5372
217,elvis,2022-07-16,2023-01-19,247,293,187,0.245989,0,75,0.81,25,7,10.42,1,2,21.82,911.2,0.4118
219,elvis,2022-07-16,2023-01-19,240,294,187,0.28877,0,75,0.801,25,7,10.42,1,2,21.82,911.2,0.4118
41,elvis,2022-07-16,2023-01-19,251,301,187,0.26738,0,75,0.828,25,7,10.42,1,2,21.82,911.2,0.4118
330,elvis,2022-09-25,2023-01-19,239,310,116,0.612069,0,75,0.824,25,7,10.42,1,2,22.26,873.4,0.0517
333,elvis,2022-09-25,2023-12-09,158,295,440,0.311364,0,75,0.679,25,7,10.42,1,2,21.97,1774.7,0.4295
334,elvis,2022-09-25,2023-06-17,208,354,265,0.550943,0,75,0.843,25,7,10.42,1,2,21.19,1399.5,0.3132
426,elvis,2024-05-02,2025-04-10,175,321,343,0.425656,0,75,0.744,30,7,10.42,1,1,22.81,1033.0,0.4694
305,sonico,2021-06-07,2022-04-13,231,369,310,0.445161,0,75,0.9,25,7,9.5,1,2,22.89,1455.4,0.4129
306,sonico,2021-06-07,2022-06-27,220,352,385,0.342857,0,75,0.858,25,7,9.5,1,2,22.16,1481.8,0.5273
307,sonico,2021-06-07,2022-06-27,209,352,385,0.371429,0,75,0.842,25,7,9.5,1,2,22.16,1481.8,0.5273
308,sonico,2021-06-07,2022-06-27,192,349,385,0.407792,0,75,0.811,25,7,9.5,1,2,22.16,1481.8,0.5273
309,sonico,2021-06-07,2022-05-28,204,350,355,0.411268,0,75,0.831,25,7,9.5,1,2,22.43,1480.9,0.4873
310,sonico,2021-06-07,2022-06-27,161,315,385,0.4,0,75,0.714,25,7,9.5,1,2,22.16,1481.8,0.5273
311,sonico,2021-06-07,2022-05-28,228,376,355,0.416901,0,75,0.906,25,7,9.5,1,2,22.43,1480.9,0.4873
312,sonico,2021-06-07,2022-06-27,215,351,385,0.353247,0,75,0.849,25,7,9.5,1,2,22.16,1481.8,0.5273
313,sonico,2021-06-07,2022-06-27,200,368,385,0.436364,0,75,0.852,25,7,9.5,1,2,22.16,1481.8,0.5273
316,sonico,2022-07-16,2023-06-17,223,342,336,0.354167,0,75,0.848,25,7,9.5,1,2,22.3,1264.9,0.4583
317,sonico,2022-07-16,2023-01-19,245,314,187,0.368984,0,75,0.839,25,7,9.5,1,2,22.89,861.1,0.4118
318,sonico,2022-07-16,2023-01-19,226,290,187,0.342246,0,75,0.774,25,7,9.5,1,2,22.89,861.1,0.4118
319,sonico,2022-07-16,2023-06-17,188,325,336,0.407738,0,75,0.769,25,7,9.5,1,2,22.3,1264.9,0.4583
320,sonico,2022-07-16,2023-01-19,240,306,187,0.352941,0,75,0.819,25,7,9.5,1,2,22.89,861.1,0.4118
321,sonico,2022-07-16,2023-06-17,222,344,336,0.363095,0,75,0.849,25,7,9.5,1,2,22.3,1264.9,0.4583
322,sonico,2022-07-16,2023-06-17,183,337,336,0.458333,0,75,0.78,25,7,9.5,1,2,22.3,1264.9,0.4583
152,sonico,2020-11-29,2023-01-19,92,366,781,0.350832,0,75,0.687,25,7,9.5,1,1,22.63,2903.0,0.4686
149,sonico,2020-11-29,2023-01-19,145,358,781,0.272727,0,75,0.755,25,7,9.5,1,1,22.63,2903.0,0.4686
150,sonico,2020-11-29,2023-06-17,90,368,930,0.298925,0,75,0.687,25,7,9.5,1,1,22.46,3306.8,0.4763
151,sonico,2020-11-29,2023-01-19,107,395,781,0.368758,0,75,0.753,25,7,9.5,1,1,22.63,2903.0,0.4686
148,sonico,2020-11-29,2022-06-27,177,319,575,0.246957,0,75,0.744,25,7,9.5,1,1,22.68,2041.8,0.4696
147,sonico,2020-11-29,2023-01-19,80,317,781,0.303457,0,75,0.596,25,7,9.5,1,1,22.63,2903.0,0.4686
155,sonico,2020-11-29,2022-06-27,102,289,575,0.325217,0,75,0.587,25,7,9.5,1,1,22.68,2041.8,0.4696
153,sonico,2020-11-29,2022-06-27,130,349,575,0.38087,0,75,0.719,25,7,9.5,1,1,22.68,2041.8,0.4696
160,sonico,2020-11-29,2022-06-27,105,288,575,0.318261,0,75,0.59,25,7,9.5,1,1,22.68,2041.8,0.4696
157,sonico,2020-11-29,2023-01-19,91,323,781,0.297055,0,75,0.621,25,7,9.5,1,1,22.63,2903.0,0.4686
156,sonico,2020-11-29,2023-01-19,102,338,781,0.302177,0,75,0.66,25,7,9.5,1,1,22.63,2903.0,0.4686
154,sonico,2020-11-29,2023-01-19,83,358,781,0.352113,0,75,0.661,25,7,9.5,1,1,22.63,2903.0,0.4686
301,sonico,2021-06-10,2022-06-27,205,343,382,0.361257,0,75,0.822,25,7,9.5,1,2,22.16,1481.6,0.5236
302,sonico,2021-06-10,2022-04-13,228,383,307,0.504886,0,75,0.916,25,7,9.5,1,2,22.9,1455.2,0.4072
303,sonico,2021-06-10,2022-06-27,201,329,382,0.335079,0,75,0.795,25,7,9.5,1,2,22.16,1481.6,0.5236
304,sonico,2021-06-10,2022-04-13,213,393,307,0.586319,0,75,0.909,25,7,9.5,1,2,22.9,1455.2,0.4072
167,sonico,2020-11-07,2022-06-27,109,302,597,0.323283,0,75,0.1,0,7,9.5,1,2,22.74,2154.7,0.4523
170,sonico,2020-11-07,2022-06-27,137,349,597,0.355109,0,75,0.1,0,7,9.5,1,2,22.74,2154.7,0.4523
173,sonico,2020-11-07,2022-06-27,89,337,597,0.41541,0,75,0.1,0,7,9.5,1,2,22.74,2154.7,0.4523
192,sonico,2020-11-07,2022-04-16,138,348,525,0.4,0,75,0.1,0,7,9.5,1,2,23.25,2131.4,0.3771
198,sonico,2020-11-07,2022-04-16,133,378,525,0.466667,0,75,0.1,0,7,9.5,1,2,23.25,2131.4,0.3771
168,sonico,2020-11-07,2022-04-16,132,324,525,0.365714,0,75,0.1,0,7,9.5,1,2,23.25,2131.4,0.3771
175,sonico,2020-11-07,2022-06-27,112,348,597,0.39531,0,75,0.1,0,7,9.5,1,2,22.74,2154.7,0.4523
191,sonico,2020-11-07,2022-06-27,115,358,597,0.407035,0,75,0.1,0,7,9.5,1,2,22.74,2154.7,0.4523
199,sonico,2020-11-07,2023-06-17,83,368,952,0.29937,0,75,0.1,0,7,9.5,1,2,22.51,3419.8,0.4653
194,sonico,2020-11-07,2022-12-23,106,324,776,0.280928,0,75,0.1,0,7,9.5,1,2,22.67,2664.0,0.4716
193,sonico,2021-01-04,2022-06-27,150,315,539,0.306122,0,75,0.1,0,7,9.5,1,2,22.53,1872.0,0.5009
165,sonico,2021-01-04,2023-06-17,170,326,894,0.174497,0,75,0.1,0,7,9.5,1,2,22.37,3137.0,0.4955
163,sonico,2021-01-04,2022-04-13,209,368,464,0.342672,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
184,sonico,2021-01-04,2022-04-13,143,351,464,0.448276,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
188,sonico,2021-01-04,2022-04-13,195,358,464,0.351293,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
183,sonico,2021-01-04,2022-12-23,173,355,718,0.253482,0,75,0.1,0,7,9.5,1,2,22.52,2381.2,0.5097
164,sonico,2021-01-04,2022-06-27,194,322,539,0.237477,0,75,0.1,0,7,9.5,1,2,22.53,1872.0,0.5009
182,sonico,2021-01-04,2022-04-13,204,368,464,0.353448,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
158,sonico,2021-01-04,2022-04-13,217,386,464,0.364224,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
178,sonico,2021-01-04,2022-06-27,137,364,539,0.42115,0,75,0.1,0,7,9.5,1,2,22.53,1872.0,0.5009
159,sonico,2021-01-04,2022-06-27,208,361,539,0.283859,0,75,0.1,0,7,9.5,1,2,22.53,1872.0,0.5009
190,sonico,2021-01-04,2022-04-13,196,399,464,0.4375,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
161,sonico,2021-01-04,2022-04-13,236,336,464,0.215517,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
180,sonico,2021-01-04,2022-04-13,181,308,464,0.273707,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
144,sonico,2021-01-04,2022-04-13,197,338,464,0.303879,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
189,sonico,2021-01-04,2022-06-27,154,382,539,0.423006,0,75,0.1,0,7,9.5,1,2,22.53,1872.0,0.5009
162,sonico,2021-01-04,2022-06-27,176,321,539,0.269017,0,75,0.1,0,7,9.5,1,2,22.53,1872.0,0.5009
226,sonico,2021-01-04,2022-04-13,196,272,464,0.163793,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
186,sonico,2021-01-04,2022-04-13,153,338,464,0.398707,0,75,0.1,0,7,9.5,1,2,23.08,1845.6,0.4203
127,humberto,2021-04-09,2021-05-22,230,225,43,-0.116279,0,75,0.682,30,7,10.0,1,3,20.82,15.3,1.0
126,humberto,2021-04-09,2021-05-22,275,280,43,0.116279,0,75,0.833,30,7,10.0,1,3,20.82,15.3,1.0
129,humberto,2021-04-09,2021-05-22,278,270,43,-0.186047,0,75,0.822,30,7,10.0,1,3,20.82,15.3,1.0
131,humberto,2021-04-09,2021-05-22,272,274,43,0.046512,0,75,0.819,30,7,10.0,1,3,20.82,15.3,1.0
136,humberto,2021-04-09,2021-05-22,224,219,43,-0.116279,0,75,0.664,30,7,10.0,1,3,20.82,15.3,1.0
133,humberto,2021-04-09,2021-05-22,238,238,43,0.0,0,75,0.714,30,7,10.0,1,3,20.82,15.3,1.0
137,humberto,2021-04-09,2021-05-22,283,280,43,-0.069767,0,75,0.845,30,7,10.0,1,3,20.82,15.3,1.0
96,humberto,2020-12-19,2021-04-09,89,103,111,0.126126,0,75,0.288,30,7,10.0,1,3,22.75,491.1,0.0721
94,humberto,2020-12-19,2021-04-09,123,198,111,0.675676,0,75,0.481,30,7,10.0,1,3,22.75,491.1,0.0721
98,humberto,2020-12-19,2021-04-09,120,180,111,0.540541,0,75,0.45,30,7,10.0,1,3,22.75,491.1,0.0721
57,humberto,2020-12-19,2021-04-09,116,176,111,0.540541,0,75,0.438,30,7,10.0,1,3,22.75,491.1,0.0721
59,humberto,2020-12-19,2021-04-09,118,185,111,0.603604,0,75,0.455,30,7,10.0,1,3,22.75,491.1,0.0721
58,humberto,2020-12-19,2021-04-09,121,191,111,0.630631,0,75,0.468,30,7,10.0,1,3,22.75,491.1,0.0721
99,humberto,2020-12-19,2021-04-09,115,172,111,0.513514,0,75,0.43,30,7,10.0,1,3,22.75,491.1,0.0721
93,humberto,2020-12-19,2021-04-09,112,183,111,0.63964,0,75,0.443,30,7,10.0,1,3,22.75,491.1,0.0721
56,humberto,2020-12-19,2021-04-09,138,191,111,0.477477,0,75,0.493,30,7,10.0,1,3,22.75,491.1,0.0721
135,humberto,2020-12-19,2021-05-22,149,188,154,0.253247,0,75,0.506,30,7,10.0,1,3,22.21,506.4,0.3312
95,humberto,2020-12-19,2021-05-22,112,206,154,0.61039,0,75,0.477,30,7,10.0,1,3,22.21,506.4,0.3312
100,humberto,2020-12-19,2021-05-22,167,206,154,0.253247,0,75,0.559,30,7,10.0,1,3,22.21,506.4,0.3312
60,humberto,2020-12-19,2021-05-22,120,175,154,0.357143,0,75,0.443,30,7,10.0,1,3,22.21,506.4,0.3312
150H,humberto,2020-12-19,2021-05-22,197,260,154,0.409091,0,75,0.685,30,7,10.0,1,3,22.21,506.4,0.3312
145,humberto,2020-12-19,2021-05-22,124,189,154,0.422078,0,75,0.47,30,7,10.0,1,3,22.21,506.4,0.3312
140,humberto,2020-12-19,2021-05-22,162,199,154,0.24026,0,75,0.541,30,7,10.0,1,3,22.21,506.4,0.3312
130,humberto,2020-12-19,2021-05-22,121,201,154,0.519481,0,75,0.483,30,7,10.0,1,3,22.21,506.4,0.3312
25,humberto,2020-05-04,2021-02-05,188,239,277,0.184116,0,100,0.64,30,7,10.0,1,3,21.85,625.0,0.5415
24,humberto,2020-05-04,2021-02-05,192,262,277,0.252708,0,100,0.681,30,7,10.0,1,3,21.85,625.0,0.5415
22,humberto,2020-05-04,2021-02-05,162,228,277,0.238267,0,100,0.585,30,7,10.0,1,3,21.85,625.0,0.5415
90,humberto,2020-07-25,2021-05-22,169,238,301,0.229236,0,100,0.611,30,7,10.0,1,3,22.66,873.3,0.3953
84,humberto,2020-07-25,2021-05-22,151,241,301,0.299003,0,100,0.588,30,7,10.0,1,3,22.66,873.3,0.3953
86,humberto,2020-07-25,2021-05-22,177,289,301,0.372093,0,100,0.699,30,7,10.0,1,3,22.66,873.3,0.3953
89,humberto,2020-07-25,2021-05-22,143,261,301,0.392027,0,100,0.606,30,7,10.0,1,3,22.66,873.3,0.3953
85,humberto,2020-07-25,2021-05-22,165,286,301,0.401993,0,100,0.676,30,7,10.0,1,3,22.66,873.3,0.3953
81,humberto,2020-07-25,2021-05-22,260,302,301,0.139535,0,100,0.843,30,7,10.0,1,3,22.66,873.3,0.3953
79,humberto,2020-07-25,2021-05-22,134,263,301,0.428571,0,100,0.596,30,7,10.0,1,3,22.66,873.3,0.3953
83,humberto,2020-07-25,2021-05-22,183,266,301,0.275748,0,100,0.673,30,7,10.0,1,3,22.66,873.3,0.3953
82,humberto,2020-07-25,2021-05-22,193,300,301,0.355482,0,100,0.74,30,7,10.0,1,3,22.66,873.3,0.3953
87,humberto,2020-07-25,2021-05-22,153,217,301,0.212625,0,100,0.555,30,7,10.0,1,3,22.66,873.3,0.3953
76,humberto,2020-07-25,2021-05-22,176,275,301,0.328904,0,100,0.676,30,7,10.0,1,3,22.66,873.3,0.3953
77,humberto,2020-07-25,2021-05-22,173,275,301,0.33887,0,100,0.672,30,7,10.0,1,3,22.66,873.3,0.3953
78,humberto,2020-07-25,2021-05-22,161,273,301,0.372093,0,100,0.651,30,7,10.0,1,3,22.66,873.3,0.3953
88,humberto,2020-07-25,2021-05-22,210,310,301,0.332226,0,75,0.78,30,7,10.0,1,3,22.66,873.3,0.3953
123,humberto,2020-02-10,2021-02-05,169,290,361,0.33518,0,100,0.689,30,7,10.0,1,3,21.76,1049.2,0.5069
122,humberto,2020-02-10,2021-02-05,193,318,361,0.34626,0,100,0.767,30,7,10.0,1,3,21.76,1049.2,0.5069
115,humberto,2020-02-10,2021-02-05,185,298,361,0.313019,0,100,0.725,30,7,10.0,1,3,21.76,1049.2,0.5069
119,humberto,2020-02-10,2021-02-05,207,352,361,0.401662,0,100,0.839,30,7,10.0,1,3,21.76,1049.2,0.5069
124,humberto,2020-02-10,2021-02-05,194,318,361,0.34349,0,100,0.768,30,7,10.0,1,3,21.76,1049.2,0.5069
118,humberto,2020-02-10,2021-02-05,205,324,361,0.32964,0,100,0.793,30,7,10.0,1,3,21.76,1049.2,0.5069
121,humberto,2020-02-10,2021-02-05,222,304,361,0.227147,0,100,0.789,30,7,10.0,1,3,21.76,1049.2,0.5069
120,humberto,2020-02-10,2021-02-05,240,368,361,0.354571,0,100,0.912,30,7,10.0,1,3,21.76,1049.2,0.5069
125,humberto,2020-02-10,2021-02-05,265,374,361,0.301939,0,100,0.959,30,7,10.0,1,3,21.76,1049.2,0.5069
116,humberto,2020-02-10,2021-02-05,179,314,361,0.373961,0,100,0.74,30,7,10.0,1,3,21.76,1049.2,0.5069
224,humberto,2020-02-10,2021-02-05,224,356,361,0.365651,0,100,0.87,30,7,10.0,1,3,21.76,1049.2,0.5069
26,humberto,2020-05-04,2021-05-22,197,340,383,0.373368,0,100,0.805,30,7,10.0,1,3,21.84,910.9,0.5248
21,humberto,2020-05-04,2021-05-22,220,370,383,0.391645,0,75,0.885,30,7,10.0,1,3,21.84,910.9,0.5248
40,humberto,2020-05-04,2021-05-22,147,275,383,0.334204,0,75,0.633,30,7,10.0,1,3,21.84,910.9,0.5248
